Classifier,Accuracy,Variance
RandomForest,0.5854,0.1013
KNeighbors,0.6414,0.0895
LogisticRegression,0.6233,0.118
ExtraTrees,0.5875,0.1173
DecisionTree,0.5394,0.1139
AdaBoost,0.5442,0.1078
Stacking,0.6371,0.1174
